Project,TransectName,PointName,Visit,Date,year,StartTime,CommonName,BirdCd,ScientificName,BirdCount,IndivId,DuplicateIndiv,DataStatus
INDIANAMARSHBIRDS,DUPO,DUPO-03,2,5/28/23,2023,5:32:00,King Rail,KIRA,Rallus elegans,1,174,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-03,3,6/12/23,2023,5:37:00,King Rail,KIRA,Rallus elegans,1,175,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-03,3,6/7/18,2018,7:02:00,King Rail,KIRA,Rallus elegans,1,176,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-03,2,5/24/18,2018,6:50:00,Least Bittern,LEBI,Ixobrychus exilis,1,177,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-03,1,5/7/20,2020,6:43:00,Pied-billed Grebe,PBGR,Podilymbus podiceps,1,178,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-03,2,5/23/20,2020,6:25:00,Pied-billed Grebe,PBGR,Podilymbus podiceps,1,179,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-03,3,6/7/19,2019,6:26:00,Pied-billed Grebe,PBGR,Podilymbus podiceps,1,180,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-03,1,5/7/20,2020,6:43:00,Pied-billed Grebe,PBGR,Podilymbus podiceps,1,181,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-03,1,5/10/19,2019,6:12:00,Pied-billed Grebe,PBGR,Podilymbus podiceps,1,182,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-03,1,5/10/18,2018,6:08:00,Sora,SORA,Porzana carolina,1,183,,CLEAN
